MEET,RC_DATE,RC_NO,RC_DIST,RANK,WEATHER,TR_CON,TR_WC,ORD,CHUL_NO,HR_NAME,HR_NO,NAME,PRD_NAME,AGE,SEX,horse_weight,weight_gain,RC_TIME,ORD1_CNT_T,ORD2_CNT_T,RC_CNT_T,ORD1_CNT_Y,ORD2_CNT_Y,RC_CNT_Y,WG_BUDAM,JK_NAME,JK_NO,JK_AGE,JK_CAREER,JK_ORD1_CNT_T,JK_ORD2_CNT_T,JK_RC_CNT_T,JK_ORD1_CNT_Y,JK_ORD2_CNT_Y,JK_RC_CNT_Y,TR_NAME,TR_NO,TR_AGE,TR_CAREER,TR_ORD1_CNT_T,TR_ORD2_CNT_T,TR_RC_CNT_T,TR_ORD1_CNT_Y,TR_ORD2_CNT_Y,TR_RC_CNT_Y,HR_ORD1_CNT_T,HR_ORD2_CNT_T,HR_RC_CNT_T,SJ_S1F_ORD,SJ_1C_ORD,SJ_2C_ORD,SJ_3C_ORD,SJ_G3F_ORD,SJ_4C_ORD,SJ_G1F_ORD,SE_S1F_ACC_TIME,SE_1C_ACC_TIME,SE_2C_ACC_TIME,SE_3C_ACC_TIME,SE_G3F_ACC_TIME,SE_4C_ACC_TIME,SE_G1F_ACC_TIME,JE_S1F_TIME,JE_1C_TIME,JE_2C_TIME,JE_3C_TIME,JE_G3F_TIME,JE_4C_TIME,JE_G1F_TIME,BU_S1F_ORD,BU_G8F_ORD,BU_G6F_ORD,BU_G4F_ORD,BU_G3F_ORD,BU_G2F_ORD,BU_G1F_ORD,BU_S1F_TIME,BU_10-8F_TIME,BU_8-6F_TIME,BU_6-4F_TIME,BU_4-2F_TIME,BU_2F-G_TIME,BU_3F-G_TIME,BU_1F-G_TIME,BU_S1F_ACC_TIME,BU_G8F_ACC_TIME,BU_G6F_ACC_TIME,BU_G4F_ACC_TIME,BU_G3F_ACC_TIME,BU_G2F_ACC_TIME,BU_G1F_ACC_TIME
제주,20230701,1,800,제6등급,흐림,포화,18,1,9,한백제왕,3101848,한국,국산,3,거,311.0,-18.0,65.2,1,0,2,1,0,2,55.0,김준호,3081,30,9,411,337,3025,64,50,413,김영래,2019.0,,27.0,1547.0,1235.0,10161.0,48.0,32.0,321.0,90.0,46.0,366.0,2,0,0,2,0,2,1,0,0,0,0,0,0,0,16.8,0.0,0.0,16.8,48.4,31.2,18.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230701,2,800,제6등급,흐림,포화,18,1,5,비룡신공,3102610,한국,국산,3,거,267.0,-3.0,66.9,1,1,5,1,1,5,57.0,이소연,3093,26,6,98,95,1340,22,19,240,좌윤철,2009.0,,32.0,1078.0,1277.0,13727.0,33.0,27.0,360.0,66.0,64.0,559.0,4,0,0,4,0,4,1,0,0,0,0,0,0,0,17.8,0.0,0.0,17.8,49.1,33.2,17.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230701,3,900,제5등급,안개,포화,18,1,3,바람아,3101736,한국,국산,3,암,261.0,3.0,74.5,2,0,6,2,0,6,53.5,김대연,3028,52,31,664,830,8509,18,21,297,김성오,2024.0,,26.0,804.0,930.0,9818.0,18.0,27.0,326.0,76.0,83.0,765.0,3,0,0,2,0,2,2,0,0,0,0,0,0,0,16.9,0.0,0.0,24.6,49.9,40.0,17.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230701,4,1000,제5등급,흐림,포화,18,1,3,여신강림,3018870,한국,국산,5,암,275.0,-1.0,84.7,3,1,17,3,0,9,51.0,박재희,3095,27,3,20,28,241,19,25,208,김길홍,2038.0,,5.0,216.0,211.0,1841.0,59.0,47.0,432.0,76.0,70.0,581.0,8,0,0,6,0,5,2,0,0,0,0,0,0,0,17.8,0.0,0.0,34.1,50.6,50.3,18.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230701,5,1000,제4등급,흐림,포화,16,1,7,전설파도,3101558,한국,국산,3,수,261.0,3.0,82.8,4,0,6,4,0,6,52.0,안득수,3053,44,24,737,624,6445,42,32,333,김태준,2032.0,,7.0,321.0,272.0,2366.0,36.0,31.0,321.0,69.0,52.0,485.0,3,0,0,3,0,2,2,0,0,0,0,0,0,0,17.2,0.0,0.0,33.4,49.4,49.3,17.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230701,6,1110,제4등급,흐림,포화,16,1,2,날려버려,3101811,한국,국산,3,수,276.0,-6.0,93.2,4,0,9,4,0,9,54.0,박성광,3089,42,6,310,252,2043,60,44,352,이태용,2034.0,,12.0,748.0,598.0,4705.0,54.0,37.0,343.0,83.0,53.0,442.0,3,0,0,3,0,2,1,0,0,0,0,0,0,0,18.5,0.0,0.0,44.1,49.1,60.3,16.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230701,7,1200,제2등급,맑음,포화,16,1,8,문무태왕,3016573,한국,국산,10,거,256.0,3.0,100.2,11,8,52,1,2,14,55.0,이소연,3093,26,6,98,95,1340,22,19,240,김길홍,2038.0,,5.0,216.0,211.0,1841.0,59.0,47.0,432.0,76.0,70.0,581.0,10,0,0,10,0,10,3,0,0,0,0,0,0,0,18.2,0.0,0.0,51.3,48.9,67.6,16.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230630,1,800,제6등급,비,불량,20,1,2,우당대목,3103388,한국,국산,2,거,280.0,-2.0,66.0,1,0,1,1,0,1,53.0,곽석,3094,27,3,35,44,520,16,21,209,박병진,2028.0,,19.0,927.0,936.0,7980.0,39.0,35.0,381.0,90.0,78.0,717.0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,17.6,0.0,0.0,17.6,48.4,33.5,16.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230630,2,800,제6등급,비,불량,20,1,3,삼다재건,3101672,한국,국산,3,암,288.0,-12.0,65.2,1,2,3,1,2,3,57.0,김준호,3081,30,9,411,337,3025,64,50,413,김영래,2019.0,,27.0,1547.0,1235.0,10161.0,48.0,32.0,321.0,90.0,46.0,366.0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,17.0,0.0,0.0,17.0,48.2,32.1,17.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230630,3,900,제5등급,비,불량,20,1,6,상명의힘,3102344,한국,국산,4,암,297.0,-1.0,75.6,2,2,11,1,0,5,57.0,이성민,3092,29,6,126,142,1573,28,36,389,좌윤철,2009.0,,32.0,1078.0,1277.0,13727.0,33.0,27.0,360.0,66.0,64.0,559.0,10,0,0,10,0,8,6,0,0,0,0,0,0,0,18.4,0.0,0.0,26.7,48.9,42.9,16.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
