Shift,Model,Scaler,train_mse,test_mse,train_rmse,test_rmse,train_r2,test_r2,train_mae,test_mae,train_mae_ratio,test_mae_ratio
0,RandomForestRegressor,,680710846649535.1,3912119466242086.5,26090435.92,62546938.1,0.99,0.95,11292838.94,29019445.18,5.26,13.85
0,RandomForestRegressor,StandardScaler,680477571674964.8,3923930678947741.0,26085965.03,62641285.74,0.99,0.95,11292730.95,29016936.0,5.26,13.85
0,RandomForestRegressor,MinMaxScaler,679791890464823.9,3940530333699805.0,26072819.0,62773643.62,0.99,0.95,11291422.82,29053142.23,5.26,13.87
1,RandomForestRegressor,,654131458971698.2,5229041647559962.0,25575993.8,72312112.73,0.99,0.94,11363633.23,30549311.02,5.35,14.2
1,RandomForestRegressor,StandardScaler,650533806520890.4,5208305591550180.0,25505564.23,72168591.45,0.99,0.94,11362050.95,30550991.16,5.35,14.2
2,RandomForestRegressor,,674518765023128.9,4702229122973504.0,25971499.09,68572801.63,0.99,0.94,11414672.54,30227100.93,5.38,14.2
2,RandomForestRegressor,MinMaxScaler,674247126682085.5,4709563226831936.0,25966269.02,68626257.56,0.99,0.94,11415308.71,30224892.47,5.38,14.2
1,RandomForestRegressor,MinMaxScaler,654897239906213.6,5238950723507328.0,25590960.12,72380596.32,0.99,0.94,11366011.53,30564714.04,5.35,14.21
2,RandomForestRegressor,StandardScaler,675627895557844.0,4694311016433731.0,25992843.16,68515042.26,0.99,0.94,11413484.44,30249791.15,5.38,14.21
3,RandomForestRegressor,StandardScaler,696891574943822.9,5449624040710011.0,26398704.04,73821568.94,0.99,0.94,11424338.28,31829603.59,5.42,15.02
3,RandomForestRegressor,,696705833348933.6,5458950001914771.0,26395185.8,73884707.5,0.99,0.94,11421346.5,31829629.96,5.42,15.02
3,RandomForestRegressor,MinMaxScaler,696902644867744.6,5471243276353664.0,26398913.71,73967852.99,0.99,0.94,11423207.28,31849248.53,5.42,15.03
4,RandomForestRegressor,,820742934824136.4,6128535132158340.0,28648611.39,78284961.09,0.99,0.93,11897506.16,31459711.35,5.68,15.07
4,RandomForestRegressor,StandardScaler,820077421197386.4,6075589672703286.0,28636993.93,77946069.0,0.99,0.93,11895410.96,31445331.54,5.68,15.07
4,RandomForestRegressor,MinMaxScaler,819697863903173.5,6125437178560166.0,28630366.12,78265172.19,0.99,0.93,11895926.51,31447372.2,5.68,15.07
3,LinearRegression,,4.506265616372923e+16,4.967637445850049e+16,212279664.98,222881974.28,0.44,0.42,112306425.85,113486923.2,53.28,53.56
3,LinearRegression,MinMaxScaler,4.3484413200873736e+16,4.682332623751866e+16,208529166.31,216386982.6,0.46,0.45,112497292.17,113561162.93,53.37,53.6
3,LinearRegression,StandardScaler,4.348441270819262e+16,4.682330300177595e+16,208529165.13,216386928.91,0.46,0.45,112498286.25,113562153.45,53.38,53.6
2,LinearRegression,,4.726719676828874e+16,4.609107455961474e+16,217410203.92,214688319.57,0.43,0.44,114708267.36,114405085.26,54.06,53.74
2,LinearRegression,MinMaxScaler,4.428466239563687e+16,4.703227525272587e+16,210439213.07,216869258.43,0.47,0.43,113393860.56,114447520.79,53.44,53.76
2,LinearRegression,StandardScaler,4.428466371688602e+16,4.70322887898693e+16,210439216.2,216869289.64,0.47,0.43,113393246.28,114446898.39,53.44,53.76
1,LinearRegression,StandardScaler,4.428341185474847e+16,4.8082457330073416e+16,210436241.78,219277124.5,0.46,0.45,113785064.6,115847323.0,53.58,53.86
1,LinearRegression,MinMaxScaler,4.428341035197752e+16,4.808245075010895e+16,210436238.21,219277109.5,0.46,0.45,113785123.35,115847374.75,53.58,53.86
1,LinearRegression,,4.561462731994762e+16,5.116062869903287e+16,213575811.65,226187154.14,0.44,0.42,113861396.08,116022886.92,53.61,53.94
0,LinearRegression,StandardScaler,4.675691844441146e+16,3.900029111264594e+16,216233481.32,197484913.63,0.46,0.47,115206601.49,114006270.05,53.67,54.43
0,LinearRegression,MinMaxScaler,4.675691693643018e+16,3.900036739016567e+16,216233477.83,197485106.76,0.46,0.47,115208258.94,114008037.78,53.67,54.43
0,LinearRegression,,4.894665185131727e+16,3.937581293119677e+16,221238902.21,198433396.71,0.43,0.46,115535589.48,114281180.61,53.82,54.56
4,LinearRegression,StandardScaler,4.23039038076982e+16,4.804540757341554e+16,205679128.27,219192626.64,0.46,0.44,111432830.12,113928878.84,53.2,54.59
4,LinearRegression,MinMaxScaler,4.23039022588789e+16,4.804530436425556e+16,205679124.51,219192391.21,0.46,0.44,111434560.44,113930300.19,53.2,54.59
4,LinearRegression,,4.385308965933628e+16,5.065745089118562e+16,209411293.06,225072101.54,0.44,0.41,111573806.97,114207938.61,53.27,54.72
