Shift,Model,Scaler,index,train_r2,test_r2,train_mse,test_mse,train_mae_ratio,test_mae_ratio,test_mae_ratio_max,test_mae_ratio_min,test_mae_ratio_mean,train_mae,test_mae,train_rmse,test_rmse
0,ElasticNet,MinMax,의료_건강,0.02,0.01,1.127142599399915e+17,9.248057954180195e+16,42.36,42.19,119.8,42.19,76.46222222222222,214627711.88,203171067.2,335729444.55,304106197.8
0,ElasticNet,MinMax,식음료,0.04,0.04,2.4067677816859304e+16,2.02928402531648e+16,46.19,44.97,119.8,42.19,76.46222222222222,112199524.37,107416003.62,155137609.29,142452940.49
0,ElasticNet,MinMax,소매_편의,0.01,0.01,1.494913394328115e+17,2.087975430525986e+17,50.68,52.03,119.8,42.19,76.46222222222222,227487746.61,240116356.63,386641099.0,456943697.9
0,ElasticNet,MinMax,생활서비스,0.02,0.02,2.5283856408786628e+16,2.243526079938147e+16,64.92,65.4,119.8,42.19,76.46222222222222,97269884.31,95339380.89,159008982.16,149784047.21
0,ElasticNet,MinMax,교육_학원,0.02,0.02,1797670843180126.5,1922215468947152.8,73.17,74.73,119.8,42.19,76.46222222222222,28645779.52,29188324.3,42398948.61,43843077.78
0,ElasticNet,MinMax,미용_패션,0.02,0.02,2.320014339710171e+16,1.6506419077793182e+16,87.78,86.42,119.8,42.19,76.46222222222222,77663354.05,73662591.63,152315932.84,128477309.58
0,ElasticNet,MinMax,취미_레저,0.01,0.01,7.343512755227824e+16,5.286641265781593e+16,88.42,93.74,119.8,42.19,76.46222222222222,110522911.6,102115482.57,270989165.01,229926972.45
0,ElasticNet,MinMax,가구_전자기기,0.02,0.01,3.76774525426641e+16,3.85578765972239e+16,106.25,108.88,119.8,42.19,76.46222222222222,112920712.46,112081678.88,194106807.05,196361596.54
0,ElasticNet,MinMax,부동산_숙박,0.09,0.09,638143291668877.9,846037382947680.4,120.18,119.8,119.8,42.19,76.46222222222222,13355287.61,14530707.89,25261498.21,29086721.76
0,ElasticNet,Standard,의료_건강,0.8,0.79,2.2783425063667616e+16,2.012436569961358e+16,18.19,18.96,61.86,18.96,35.72222222222222,92145013.23,91286693.93,150941793.63,141860373.96
